City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,wailua homesteads,22.0669,-159.378,26.24,51,0,5.66,US,1708476440
171,north amherst,42.4104,-72.5309,-0.74,65,4,0.68,US,1708476440
172,lompoc,34.6391,-120.4579,17.4,71,100,4.63,US,1708476440
173,kodiak,57.79,-152.4072,5.73,70,100,5.14,US,1708476431
174,afaahiti,-17.75,-149.2833,29.93,80,52,3.14,PF,1708476441
175,chibougamau,49.9168,-74.3659,-21.21,71,0,2.06,CA,1708476441
176,spring creek,40.7266,-115.5859,9.83,77,41,2.34,US,1708476441
177,dryden,49.7833,-92.7503,0.16,64,100,1.54,CA,1708476441
178,ulsteinvik,62.3432,5.8487,6.84,82,100,3.58,NO,1708476441
179,la ronge,55.1001,-105.2842,-7.86,62,75,1.03,CA,1708476441
180,satuek,15.297,103.2919,25.31,78,9,1.54,TH,1708476442
181,kuala belait,4.5833,114.1833,26.09,86,98,0.7,BN,1708476442
182,kristiansund,63.1115,7.732,5.36,75,44,3.6,NO,1708476442
183,mar del plata,-38.0023,-57.5575,23.94,93,0,6.71,AR,1708476199
184,klyuchi,52.2667,79.1667,-29.25,100,10,1.2,RU,1708476442
185,novovarshavka,54.1721,74.6946,-29.23,99,100,1.97,RU,1708476442
186,la'ie,21.6477,-157.9253,26.98,54,36,2.68,US,1708476304
187,alo,7.4178,6.7371,29.35,68,56,2.8,NG,1708476442
188,galle,6.0367,80.217,24.57,86,22,2.71,LK,1708476443
189,selfoss,63.9331,-20.9971,0.58,87,100,6.49,IS,1708476443
190,sawang daen din,17.4753,103.4575,29.08,49,13,4.03,TH,1708476443
191,coxen hole,16.3244,-86.5366,24.6,69,40,1.54,HN,1708476443
192,fort mcmurray,56.7268,-111.381,-3.23,54,100,1.54,CA,1708476443
193,san carlos,9.6612,-68.5827,27.21,62,19,2.03,VE,1708476443
194,santyoku,37.4406,129.1708,2.85,98,100,6.08,KR,1708476443
195,vilyuchinsk,52.9306,158.4028,-7.85,71,31,19.05,RU,1708476444
196,delta del tigre,-34.7633,-56.3853,24.06,83,0,5.14,UY,1708476333
197,arinos,-15.9169,-46.1056,21.63,98,100,1.18,BR,1708476444
198,frontignan,43.4485,3.754,7.25,61,100,1.37,FR,1708476444
199,bilibino,68.0546,166.4372,-19.97,81,11,3.53,RU,1708476444
200,nagqu,31.5,92.0,-6.47,18,99,10.48,CN,1708476444
201,polyarnyy,69.1989,33.4478,-14.47,94,34,4.19,RU,1708476445
202,onega,63.9061,38.1404,-6.44,97,100,2.27,RU,1708476445
203,dowlatabad,32.7998,51.6955,-1.18,100,20,2.06,IR,1708476445
204,kapa'a,22.0752,-159.319,26.99,51,0,5.66,US,1708476439
205,olonkinbyen,70.9221,-8.7187,0.21,99,100,6.96,SJ,1708476445
206,udachny,66.4167,112.4,-23.64,83,97,5.01,RU,1708476445
207,yerofey pavlovich,53.9667,121.9667,-21.34,75,20,1.07,RU,1708476445
208,najran,17.4924,44.1277,16.36,44,2,1.8,SA,1708476446
209,chinde,26.8418,88.0763,10.17,51,0,2.26,NP,1708476446
210,namtsy,62.7161,129.6658,-33.93,91,100,2.82,RU,1708476446
211,lebu,-37.6167,-73.65,14.19,94,29,3.94,CL,1708476446
212,iskateley,67.6803,53.1512,-11.37,91,99,5.28,RU,1708476446
213,utrik,11.2278,169.8474,26.61,82,92,8.43,MH,1708476446
214,brisas de zicatela,15.8369,-97.0419,29.29,70,0,3.6,MX,1708476446
215,vadso,70.0744,29.7487,-9.91,67,57,7.2,NO,1708476446
216,novodvinsk,64.4165,40.8122,-13.14,99,95,1.21,RU,1708476447
217,eyl,7.9803,49.8164,24.46,80,100,4.51,SO,1708476447
218,sumy,50.9216,34.8003,-2.14,76,100,5.81,UA,1708476447
219,rio claro,-22.4114,-47.5614,20.48,93,100,0.64,BR,1708476162
220,uturoa,-16.7333,-151.4333,27.93,75,46,3.19,PF,1708476447
221,fort st. john,56.2499,-120.8529,1.94,51,75,1.54,CA,1708476447
222,san juan de miraflores,-12.1629,-76.9635,26.29,80,97,2.89,PE,1708476447
223,tegueste,28.5167,-16.3167,16.16,86,20,5.14,ES,1708476448
224,mili,6.0815,171.735,28.13,81,97,6.53,MH,1708476448
225,the pas,53.8251,-101.2541,-10.99,62,75,1.03,CA,1708476448
226,maloye ganyushkino,46.6,49.2667,-6.08,81,18,3.42,KZ,1708476448
227,wanning,18.8003,110.3967,24.53,85,5,5.48,CN,1708476448
228,tashtyp,52.7939,89.8983,-29.89,98,100,1.01,RU,1708476452
229,merizo village,13.2658,144.6691,28.31,75,96,9.08,GU,1708476453
230,tazacorte,28.629,-17.9293,19.54,77,100,6.17,ES,1708476453
231,shangrao,28.4532,117.9686,15.56,96,100,0.71,CN,1708476453
232,port moresby,-9.4431,147.1797,25.74,86,100,2.53,PG,1708476453
233,ta`u,-14.2336,-169.5144,28.25,80,100,7.99,AS,1708476453
234,hadibu,12.65,54.0333,23.68,79,6,1.81,YE,1708476453
235,fortuna,40.5982,-124.1573,14.25,78,75,5.14,US,1708476453
236,plastun,44.7561,136.2939,-12.28,39,70,4.61,RU,1708476454
237,timaru,-44.4,171.25,19.48,47,2,4.02,NZ,1708476454
238,muriti,-1.9833,32.9167,23.73,77,56,5.79,TZ,1708476454
239,masuguru,-11.3667,38.4167,23.47,97,96,0.11,TZ,1708476454
240,coquimbo,-29.9533,-71.3436,19.85,82,0,3.6,CL,1708476197
241,at taj,24.2049,23.2857,11.77,37,0,5.4,LY,1708476454
242,cabedelo,-6.9811,-34.8339,28.37,82,93,4.74,BR,1708476455
243,igarka,67.4667,86.5833,-17.33,94,100,10.99,RU,1708476455
244,guichon,-32.35,-57.2,23.94,51,0,3.25,UY,1708476455
245,auki,-8.7676,160.7034,28.49,77,100,2.35,SB,1708476455
246,anadyr,64.75,177.4833,-16.72,70,75,2.0,RU,1708476455
247,moussoro,13.6408,16.4901,23.72,11,6,5.89,TD,1708476455
248,manta,-0.95,-80.7333,25.88,94,100,4.63,EC,1708476456
249,ifanadiana,-21.3,47.6333,16.97,97,13,1.37,MG,1708476456
250,kulhudhuffushi,6.6221,73.07,28.05,76,24,4.35,MV,1708476456
251,nadym,65.5333,72.5167,-9.77,91,100,12.38,RU,1708476456
252,tazovsky,67.4667,78.7,-12.88,92,100,11.25,RU,1708476284
253,el coronil,37.0795,-5.6341,14.77,74,0,2.2,ES,1708476456
254,mount pleasant,32.7941,-79.8626,10.05,74,100,0.0,US,1708476342
255,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,72,75,19.67,RU,1708476187
256,keflavik,64.0049,-22.5624,1.24,93,40,7.2,IS,1708476456
257,mersa matruh,31.3525,27.2453,10.11,87,0,2.06,EG,1708476457
258,campbell river,50.0163,-125.2446,7.55,100,100,2.06,CA,1708476457
259,chepo,9.1667,-79.1,37.88,85,84,4.67,PA,1708476457
260,zaozersk,69.4005,32.4476,-15.7,92,23,3.84,RU,1708476457
261,suva,-18.1416,178.4415,33.71,66,75,1.54,FJ,1708476457
262,cidreira,-30.1811,-50.2056,22.25,79,20,3.05,BR,1708476457
263,kalmunai,7.4167,81.8167,25.19,78,45,1.78,LK,1708476457
264,daru,-9.0763,143.2092,27.64,85,100,4.95,PG,1708476458
265,post,33.1909,-101.3782,23.87,17,50,4.94,US,1708476458
266,chokwe,-24.5333,32.9833,20.43,83,0,0.44,MZ,1708476458
267,muli,2.9167,73.5667,27.82,82,100,6.48,MV,1708476458
268,newman,37.3138,-121.0208,13.13,89,100,1.79,US,1708476458
269,kupang,-10.1667,123.5833,30.32,94,40,4.12,ID,1708476453
270,saudarkrokur,65.7461,-19.6394,-3.95,86,14,4.0,IS,1708476458
271,huarmey,-10.0681,-78.1522,24.65,78,100,2.68,PE,1708476459
272,samalut,28.3121,30.7101,11.67,67,0,3.76,EG,1708476459
273,northam,51.0333,-4.2167,11.48,97,100,8.29,GB,1708476459
274,bardai,11.65,7.2333,22.11,17,92,4.18,NG,1708476459
275,port shepstone,-30.7414,30.455,22.79,91,7,4.02,ZA,1708476459
276,montepuez,-13.1256,38.9997,22.03,93,100,0.58,MZ,1708476459
277,santa rosalia,27.3167,-112.2833,22.05,34,0,2.18,MX,1708476459
278,skagen,57.7209,10.5839,5.19,97,100,7.1,DK,1708476459
279,souillac,-20.5167,57.5167,26.21,73,75,5.14,MU,1708476459
280,sechura,-5.5569,-80.8222,26.06,80,89,2.44,PE,1708476460
281,bandarbeyla,9.4942,50.8122,24.61,81,100,2.85,SO,1708476460
282,flying fish cove,-10.4217,105.6791,27.82,83,33,1.54,CX,1708476460
283,nouadhibou,20.931,-17.0347,21.99,49,100,6.17,MR,1708476460
284,inhambane,-23.865,35.3833,24.33,84,9,3.01,MZ,1708476460
285,ha'il,27.5219,41.6907,11.01,54,0,1.03,SA,1708476460
286,weno,7.4515,151.8468,29.97,62,40,6.17,FM,1708476460
287,nar'yan-mar,67.6713,53.087,-11.57,91,98,5.28,RU,1708476460
288,tsiombe,-25.3,45.4833,21.71,87,38,2.5,MG,1708476461
289,alofi,-19.0595,-169.9187,29.94,79,75,5.14,NU,1708476461
290,slonim,53.0867,25.3219,1.2,98,100,3.29,BY,1708476461
291,pathein,16.7833,94.7333,21.67,79,26,2.57,MM,1708476461
292,opuwo,-18.0607,13.84,23.73,61,100,1.58,NA,1708476461
293,san patricio,28.017,-97.5169,22.31,81,0,5.25,US,1708476461
294,namibe,-15.1961,12.1522,24.65,62,83,1.98,AO,1708476461
295,seydi,39.4816,62.9137,-2.56,44,100,2.33,TM,1708476462
296,tucuma,-0.1833,-50.05,24.4,86,13,2.79,BR,1708476462
297,klyavlino,54.2649,52.0267,-25.49,100,100,1.07,RU,1708476462
298,nuuk,64.1835,-51.7216,2.34,32,7,3.6,GL,1708476420
299,agadez,19.75,10.25,16.97,18,0,4.42,NE,1708476462
300,priargunsk,50.3691,119.1012,-29.59,93,14,0.52,RU,1708476462
301,wotho,10.1657,166.0102,26.83,85,100,9.77,MH,1708476462
302,luau,-10.7073,22.2247,19.35,89,98,1.4,AO,1708476462
303,nemuro,43.3236,145.575,-5.04,57,99,4.47,JP,1708476462
304,kourou,5.1552,-52.6478,26.03,81,92,3.53,GF,1708476463
305,mao,39.8885,4.2658,10.31,93,0,1.54,ES,1708476463
306,nuku'alofa,-21.1333,-175.2,29.19,84,75,5.66,TO,1708476463
307,santana,-0.0583,-51.1817,28.1,74,75,4.63,BR,1708476463
308,yashkul',46.1711,45.3435,-3.64,89,27,2.61,RU,1708476463
309,chegdomyn,51.1167,133.0167,-22.51,87,90,2.29,RU,1708476463
310,colon,9.3592,-79.9014,26.11,84,70,5.85,PA,1708476463
311,fale old settlement,-9.3852,-171.2468,28.65,75,77,4.13,TK,1708476463
312,balabac,7.9868,117.0645,27.66,78,17,7.65,PH,1708476464
313,siocon,7.7061,122.1353,28.93,70,60,2.24,PH,1708476464
314,iwon-up,40.3231,128.6553,-2.57,91,100,5.21,KP,1708476464
315,masvingo,-20.0637,30.8277,15.78,89,0,1.82,ZW,1708476464
316,menongue,-14.6585,17.691,20.71,63,94,1.32,AO,1708476464
317,new norfolk,-42.7826,147.0587,26.62,48,80,2.15,AU,1708476464
318,sirte,31.2089,16.5887,14.89,66,100,4.02,LY,1708476464
319,kingston,17.997,-76.7936,24.53,89,75,5.14,JM,1708476219
320,callaway,30.153,-85.5699,13.96,65,0,3.6,US,1708476465
321,carauari,-4.8828,-66.8958,26.71,79,100,0.27,BR,1708476465
322,hotan,37.0997,79.9269,-4.49,84,100,1.15,CN,1708476465
323,lerwick,60.1545,-1.1494,7.0,81,74,7.52,GB,1708476465
324,puerto aysen,-45.4,-72.7,15.58,100,100,2.1,CL,1708476388
325,altay,47.8667,88.1167,-26.52,67,2,2.65,CN,1708476465
326,machagai,-26.9261,-60.0496,25.59,55,17,2.05,AR,1708476465
327,homer,59.6425,-151.5483,6.94,57,20,8.75,US,1708476465
328,tukrah,32.5341,20.5791,12.08,73,100,2.76,LY,1708476466
329,muisne,0.6,-80.0333,24.35,95,100,2.23,EC,1708476466
330,port saint john's,-31.6229,29.5448,22.26,93,2,2.28,ZA,1708476466
331,altamont,42.2068,-121.7372,6.33,74,100,5.81,US,1708476466
332,divnoye,45.9089,43.3547,-3.86,89,87,3.17,RU,1708476466
333,pisco,-13.7,-76.2167,26.03,78,75,5.66,PE,1708476466
334,ylitornio,66.3089,23.6773,-9.45,99,100,1.44,FI,1708476466
335,el abiodh sidi cheikh,32.893,0.5484,9.23,67,1,4.37,DZ,1708476467
336,lethem,3.3803,-59.7968,28.88,39,98,3.72,GY,1708476467
337,libreville,0.3925,9.4537,27.57,86,100,2.03,GA,1708476467
338,mufumbwe,-13.6833,24.8,18.26,76,72,1.9,ZM,1708476467
339,westport,41.1415,-73.3579,-0.05,55,0,0.0,US,1708476214
340,marquette,46.5333,-87.6335,2.87,74,5,2.68,US,1708476467
341,tidjikja,18.5564,-11.4271,19.97,21,100,5.48,MR,1708476467
342,zhigalovo,54.8097,105.1578,-33.84,100,49,0.69,RU,1708476467
343,bria,6.5423,21.9863,23.56,21,100,1.73,CF,1708476467
344,badger,64.8,-147.5333,7.14,64,75,2.06,US,1708476468
345,hobyo,5.3505,48.5268,25.9,77,91,6.08,SO,1708476468
346,damulog,7.4836,124.9431,28.66,60,100,2.78,PH,1708476468
347,villamontes,-21.25,-63.5,25.55,60,1,0.86,BO,1708476468
348,mount pearl,47.5166,-52.7813,-7.31,81,20,14.4,CA,1708476468
349,zherdevka,51.8486,41.4606,-10.9,96,100,2.69,RU,1708476468
350,usevia,-7.1,31.2333,19.59,95,100,0.91,TZ,1708476468
351,rio grande,-32.035,-52.0986,23.06,75,26,4.83,BR,1708476468
352,krutinka,56.0055,71.5113,-27.34,92,100,3.43,RU,1708476469
353,aasiaat,68.7098,-52.8699,-16.31,97,73,3.06,GL,1708476469
354,oamaru,-45.0784,170.9801,16.74,48,0,5.86,NZ,1708476469
355,nagbalaye,9.2492,122.8759,24.94,74,66,5.2,PH,1708476469
356,sarangani,5.4033,125.4636,27.31,75,97,8.28,PH,1708476469
